Date: ,,,,,,,,
 Sales of Cigarettes,,,,,,,,
,LD,Rothman & Chest,Terrar,Peter,Wiston,Dunhill,Mevius,Marbolo
Default Price,12,12.4,14,16.2,15.9,17.7,17.7,17.4
Sales of packs,,,,,,,,
Total:,,,,,,,,
,,,,,,,,
,,,,,,,,
Rental Collection,Wanton,Pork Noodle,Pan Mee,ChiCongFun,Kampar,Ipoh Sherred,Chicken Rice,Cina Noodle
Default Price,40,40,35,35,35,20,100,40
Days of collection,,,,,,,,
Total,,,,,,,,
,,,,,,,,
,,,,,,TOTAL:,,
ALL CASH OUT,,,Cash Received:,,,,,
Expenses,Total,,TNG Received:,,,,,
Cigarettes,,,Expenses paid by Cash today:,,,,,
,,,Salary paid by Cash today:,,,,,
,,,Grab Received:,,,,,
Total Expenses,,,Shopee Received:,,,,,
,,,Sales today,,,,,
Expenses Bank Transfer,Total,,,,,,,
,,,Sales Today : (Sales of Cofee + Sales of Cigarettes + Rental Collection),,,,,
,,,,,,,,
,,,Sales of Cigarettes:,,,,,
Total Expenses,,,Rental Colletion:,,,,,
,,,Coffee Sales:,,,,,
Salary,Total,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Total Salary,,,,,,,,
